id,headline,source,db_category,v1_category,v1_noise,v2_category,v2_noise,changed
"a0479a2d-9922-4481-9ed0-924249255b4d","शिक्षकों के ट्रांसफ़र का रास्ता साफ़, 29 जुलाई से खुल जाएगा ट्रांसफर पोर्टल","Main Media","education","education",false,"education",false,""
"b845922c-4510-49e2-8fe2-01ac57078582","&#8220;Bollywood Gets Bihar Wrong&#8221;: Esha Deol Says It&#8217;s Time Films Changed The Narrative","Patna Press","governance","",true,"",true,""
"95e5e41d-87a5-45bb-a79d-eee707a67829","Bihar Plans Biggest Higher Education Reform in Decades, Bringing 481 Government Colleges Under Direc","Patna Press","education","education",false,"education",false,""
"2d09c908-3621-417a-9348-d3ff19f0a958","Bihar Assembly Monsoon Session 2026 Begins July 20 With Budget, Department-Wise Question Hour and Pr","Patna Press","governance","agriculture",false,"governance",false,"YES"
"78e581e1-626c-4247-b4dc-7cddb4bc22e1","One Village, One Compensation Rate? Bihar Plans Major Land Acquisition Policy Overhaul","Patna Press","governance","governance",false,"governance",false,""
"d195a308-901b-4157-9791-ed0232ed5b1a","Centre Clears Supaul–Darbhanga Highway DPR, Travel Time Across North Bihar Set To Reduce","Patna Press","infrastructure","infrastructure",false,"infrastructure",false,""
"07d24a4a-985f-4c33-b9bd-9cebb087fe0f","khesari lal yadav praises prashant kishor patna statement 138482409","Dainik Bhaskar Bihar","infrastructure","",false,"governance",false,"YES"
"5c86c96b-d1c1-4a57-b0c0-fd683ea66d20","खेसारी लाल यादव ने प्रशांत किशोर का किया समर्थन, बोले- मुझे शुरू से पसंद हैं, उनके पास बिहार के विका","Prabhat Khabar Bihar","infrastructure","",false,"governance",false,"YES"
"734e2ae6-23d6-40b6-b190-3316adf50a55","Gujarat man lured to Bihar with marriage proposal, rescued from illegal confinement","The Print","governance","",true,"",true,""
"728ed64f-2567-4805-a90b-3e0415bf3d6c","Muzaffarpur News: मॉडल बरियारपुर थाने को मिला अपना भवन","Live Hindustan Bihar","infrastructure","education",false,"education",false,""
"5946cf63-1490-45c4-b8ab-f13235175534","Patna Turns to Scientific Training as It Steps Up Its Fight Against Dengue and Malaria","Patna Press","healthcare","agriculture",false,"agriculture",false,""
"c95cfba0-e20d-4f51-b3a0-aedb50ea52f4","Bihar’s New Teacher Transfer Policy: What Will Decide Your Next Posting?","Patna Press","education","education",false,"education",false,""
"865f8668-8a19-48d9-92b3-ff3fc2f49e9e","Girls Take the Lead in Bihar Foundation NICE 2026 as Adya Singh Tops National Round","Patna Press","education","education",false,"education",false,""
"cf2ea357-42e9-44a1-b029-ada2295d9b96","Patna Metro&#8217;s Next Big Challenge: Bailey Road Set For Years Of Digging And Traffic Disruption","Patna Press","infrastructure","infrastructure",false,"infrastructure",false,""
"20324930-39eb-46dc-9a04-9ed30c20f9ca","Naveen Patnaik asks Centre to initiate dialogue with students","The Hindu","education","education",false,"education",false,""
"78988168-e2b5-429c-9925-654ba895be54","Bihar Moves Closer to Cleaner Public Transport With 100 PM e-Buses","Patna Press","infrastructure","",false,"",false,""
"8aa3bd65-6a83-4146-8c21-ec86a1586bf2","Orange Alert Returns: Is Your District Bracing For Bihar’s Next Spell Of Heavy Rain?","Patna Press","environment","environment",false,"environment",false,""
"685ae2a3-e1b2-48c8-8141-7b705ff89c12","Bihar Weather: सोमवार को 14 जिलों में मानसून की भारी बारिश का अलर्ट, 3 दिन जमकर बरसेगा बदरा","Live Hindustan Bihar","environment","environment",false,"environment",false,""
"76f12f6d-b2d8-475d-b45c-aab773b0e436","Patna News: कदमकुआं में सैर पर निकली महिला से चेन झपटी","Live Hindustan Bihar","governance","",true,"",true,""
"5312baa1-7e41-4111-8951-ff7657e875b3","मनेर में दो गुटों के बीच गोलीबारी, 6 लोग घायल:  पूर्व के विवाद को लेकर हुई झड़प में 10 राउंड फायरिंग","Dainik Bhaskar Bihar","governance","",true,"",true,""
"d1c8c53e-88f4-4ae5-97fd-eb58752b79f4","CIMP And Georgia State University Launch India&#8217;s First Joint Centre For Public Finance And Pub","Patna Press","governance","",true,"",true,""
"1c2ccfff-3503-4c29-bfd3-ac1fc6fc1dd7","2 flats,  ₹80K monthly rent yet this heart attack survivor from Bihar drives Uber 12 hours a day — h","Mint","governance","",false,"",false,""
"4706bbb0-473a-4c72-b48a-2882f7bfa31f","YSRCP chief terms Ramayapatnam Port disinvestment ‘scam’, alleges huge loss to exchequer","The Print","governance","",true,"",true,""
"1b01796a-1f0e-4f75-9083-8506ada92adb","AIIMS Patna Turns to Specialised Roster Training to Strengthen Administrative Compliance","Patna Press","healthcare","healthcare",false,"healthcare",false,""
"a3185e74-b2bd-4ea6-a138-bf4790a0b42c","Bihar Universities Told To Set Up Research Cells As Governor Pushes Innovation Drive","Patna Press","education","education",false,"education",false,""
"54375164-1989-415a-ba92-ae25e01b4af9","From Gambling To Business Reforms: 13 Bills In Just Five Days – What&#8217;s On Bihar Assembly&#8217","Patna Press","governance","agriculture",false,"governance",false,"YES"
"2d12e539-c1a9-4c34-893e-94d554cd810b","692 को लीगल नोटिस, 475 पर FIR, 103 गिरफ्तार: सोशल मीडिया पर बिहार पुलिस का पहरा क्यों?","Live Hindustan Bihar","governance","",true,"",true,""
"acb6cec5-90c1-4d38-97e8-bda2c5821e99","Patna News: शिक्षकों की लंबित प्रोन्नति का रास्ता साफ","Live Hindustan Bihar","education","education",false,"education",false,""
"81410604-31e0-4248-a252-4484c2234687","दाखिल-खारिज और जीएसटी में बदलाव की तैयारी, बिहार विधानसभा में आएंगे नए कानून, 24 जुलाई तक चलेगा मॉनस","Prabhat Khabar Bihar","governance","agriculture",false,"governance",false,"YES"
"07ca9ddd-fefc-4d3a-815a-4d681017a4c9","No Home Cadre Even For Bihar&#8217;s UPSC Topper? IAS Allocation Rules Leave General, OBC Aspirants ","Patna Press","governance","",false,"",false,""
"8506cd64-ead7-4fda-95da-1f36150d8c78","बिहार दिनभर, 10 बड़ी खबरें:  टीचर्स की तरह कंट्रोल होंगे प्रोफेसर, हनीट्रैप में फंसाकर कारोबारी से वस","Dainik Bhaskar Bihar","governance","economy",false,"economy",false,""
"e1f08070-420d-449a-bb4e-244a094d6e7d","भागलपुर में मिला कोरोना संक्रमित मरीज:  10 दिनों से फीवर, टेस्ट कराने पर निकला कोविड; आंध्र में भी म","Dainik Bhaskar Bihar","healthcare","healthcare",false,"healthcare",false,""
"5dc96ff7-d869-4aa1-8098-9da2edcaa872","दरभंगा-आर्मी जवान और उनके दो दोस्तों की एक्सीडेंट में मौत:  बेटी का बर्थडे मनाने बीकानेर से आए थे, प","Dainik Bhaskar Bihar","governance","infrastructure",false,"infrastructure",false,""
"190600ab-6f54-48fd-8473-5424d31c31bf","Proposal to bring Bihar colleges under government dept: Delhi University teachers warn against weake","The Indian Express","education","education",false,"education",false,""
"8f42a64f-6061-4e6e-91c3-fa2d0829d6fa","बिहार का टॉप गैंगस्टर संतोष डॉन अरेस्ट:  किडनैप-हत्या से जुड़े 31 केस दर्ज, EOU की रेड में साड़ी पहन","Dainik Bhaskar Bihar","governance","",true,"",true,""
"d68b8c29-af1f-4649-9c5f-7bb2945e3f54","बिहार में 40 लोगों से भरी नाव नदी में पलटी,VIDEO:  कब्रिस्तान से लौट रहे थे; लोग बोले- 15 की क्षमता ","Dainik Bhaskar Bihar","environment","environment",false,"environment",false,""
"a51bb2e4-c403-4186-b5e0-c9a5d49a588f","दरभंगा एयरपोर्ट के नए टर्मिनल के निर्माण का लिया जायजा:  डीएम ने तय समय में काम पूरा करने के दिए निर","Dainik Bhaskar Bihar","infrastructure","infrastructure",false,"infrastructure",false,""
"d82ea4c3-93a3-4177-a975-62f997ac4a74","Patna News: मनेर में रोड़ेबाजी और फायरिंग दो को गोली लगी,11 गिरफ्तार","Live Hindustan Bihar","governance","",true,"",true,""
"d265292f-cceb-498c-b6a8-5e94ebe21f2c","Patna News: खगौल में मिक्सर ट्रक की टक्कर से बुजुर्ग घायल","Live Hindustan Bihar","governance","",false,"",false,""
"0951e5d2-d509-4e8f-9774-0051fcaffe7f","Patna News: महापुरुष भी गलत संगत में पड़कर दूषित हो जाते हैं : पुरुषोत्तमाचार्य","Live Hindustan Bihar","governance","",false,"",false,""
"c8225361-57ed-4e64-8dbd-367c87a9754c","Bihar CM opens ₹130.88-cr. link to divert floodwaters, enhance farm productivity","The Hindu","infrastructure","education",false,"governance",false,"YES"
"1ea02fef-4928-4739-817a-3f7105794c9e","Disagreement in NDA? Bihar’s Model Schools to be painted saffron, JD(U) raises concerns","The Indian Express","education","education",false,"education",false,""
"b032d26a-3ee0-461c-a0d2-c8fa68e2fbbe","Ex-envoy Ajay Bisaria: ‘Likelihood of something positive happening greater under this dispensation t","The Indian Express","governance","",false,"",false,""
"b13bb17e-74a6-4cdd-a161-4ccbe20618e8","Bihar to Deploy Mobile Food Testing Labs to Check Milk, Oil and Spice Adulteration in Markets","Patna Press","economy","economy",false,"healthcare",false,"YES"
"e133f036-f2e9-4345-af66-cf2bb859b501","Explained: Why Bihar Villagers May Soon Have to Pay New Taxes on Houses, Shops and Water Supply","Patna Press","governance","",false,"",false,""
"541037fb-2ef8-444d-8d92-feef4fdb4728","Bihar to Set Up Over 10,000 EV Charging Points at 4,000 Petrol Pumps by March 2027","Patna Press","infrastructure","governance",false,"governance",false,""
"a093057f-29dc-4ac4-b90b-8bd9d84be861","2.15 Lakh Cusec Water Released from Kosi Barrage as Heavy Rain in Nepal Raises Flood Concerns in Bih","Patna Press","environment","environment",false,"environment",false,""
"42e1f621-d71b-40a0-80d3-9b4bfd4b0333","Bihar Launches Doorstep Land Mutation Drive for Heirs of Deceased Landowners","Patna Press","governance","",false,"",false,""
"fc401ea1-7f85-4d64-96dd-3d4cde8d4afc","Bihar Weather Alert: Orange Alert for Heavy Rain in 10 Districts, Lightning Kills 9; Monsoon Active ","Patna Press","environment","environment",false,"environment",false,""
"7a517489-876d-443c-9c37-cb84cba787d6","Bihar Rain Alert: छाता साथ रखें! बिहार के पटना, मुजफ्फरपुर समेत 30 जिलों में बारिश; वज्रपात का भी अल","Live Hindustan Bihar","environment","environment",false,"environment",false,""
"0349ddfb-22e6-4356-b514-25f8217f0f4a","Muzaffarpur News: एक प्रचार होर्डिंग के कारण जंक्शन पर एलिवेटेड रोड का काम रुका","Live Hindustan Bihar","infrastructure","infrastructure",false,"infrastructure",false,""
"4b8921b6-9fff-4279-b827-290f5aecfda5","बांकीपुर जीतने के लिए नितिन नवीन की 4 लेयर स्ट्रेटजी:  60 शक्ति केंद्र बनाए, 50 विधायक ग्राउंड पर, म","Dainik Bhaskar Bihar","governance","governance",false,"governance",false,""
"458fec89-f238-469c-a7e8-754c8e188177","आज से बिहार विधानमंडल का मानसून सत्र:  सम्राट सरकार के सौ दिन होंगे पूरे; भरत एनकाउंटर, राबड़ी आवास ","Dainik Bhaskar Bihar","governance","",true,"",true,""
"40e15c70-2cbb-42fb-9442-46dba3de93a5","bihar family tragedy dilendra tanti suicide case 138488551","Dainik Bhaskar Bihar","governance","",false,"",false,""
"810b3e1f-56e5-4f2a-a5b2-753fd5344c31","patna khan sir roshan anand controversy police investigation update 138488544","Dainik Bhaskar Bihar","governance","",true,"",true,""
"f9677ea7-74ec-43d6-bf66-f67374883240","कोसी उफान पर, बराज के 31 फाटक खोले गए:  बेगूसराय में घरों में घुसा पानी, खगड़िया में सड़कें लबालब; प","Dainik Bhaskar Bihar","environment","environment",false,"environment",false,""
"6c6aa65c-8906-40cb-96a1-5f22965c8303","मौके पर ही होगी मिलावट की जांच:  राज्य के 4 प्रमंडल के 21 जिलों में दौड़ेगी मोबाइल फूड लैब - Muzaffa","Dainik Bhaskar Bihar","governance","governance",false,"governance",false,""
"dd96d1ba-27d9-4a2b-95ca-cc469a6fc480","सात दिन तक सक्रिय रहेगा मानसून, कई जिलों में भारी बारिश का अलर्ट - Patna News","Dainik Bhaskar Bihar","environment","environment",false,"environment",false,""
"7e587868-2505-4d72-a561-f4365502a70f","अवैध कारतूस फैक्ट्री का भंडाफोड़:  4 आरोपी गिरफ्तार, मास्टरमाइंड पर यूएपीए समेत पांच मामले दर्ज - Ch","Dainik Bhaskar Bihar","governance","",true,"",true,""
"d2d90643-6a42-43dc-ac8b-5a8d1c00f1ef","Bankipur Bypoll: BJP Unveils Four-Layer Campaign Strategy as Prashant Kishor Mounts Strong Challenge","Patna Press","governance","",false,"governance",false,"YES"
